case_id,config_hash,environment_id,experiment,stage,algorithm,n,S,x,seed,repeat,measurement_mode,comparisons,cpu_seconds,wall_seconds,sort_batch_size,cpu_total_seconds,wall_total_seconds,order_position,length_ok,order_ok,integrity_method,integrity_ok,input_sum,input_sum_squares,input_xor,dataset_sha256,output_sha256,rss_bytes_after,python_version,platform,completed_utc
tune:1000:0:hybrid:32:counted,0cfc5c7c0a5005d27a3bb518d776b983a8427406ffd6c39541c6c0566dfea02b,0c66ee43f1117e7a,c(iii),tune,hybrid,1000,32,1000000,310100,0,counted,13322,,,1,,,10,True,True,exact_histogram+sum+squares+xor,True,500133472,328426401492916,533676,998f1635234f45492a696100253f18aea194252dd7d5cfc64a03c3e20c68bfe2,449e9d486a5120e818e99b17d86a5528a6d73dfee19b63afe5b0f332d3e849cd,46100480,3.13.6,Windows-11-10.0.26200-SP0,2026-09-13T10:55:16.523181+00:00
tune:1000:0:hybrid:64:counted,0cfc5c7c0a5005d27a3bb518d776b983a8427406ffd6c39541c6c0566dfea02b,0c66ee43f1117e7a,c(iii),tune,hybrid,1000,64,1000000,310100,0,counted,19989,,,1,,,11,True,True,exact_histogram+sum+squares+xor,True,500133472,328426401492916,533676,998f1635234f45492a696100253f18aea194252dd7d5cfc64a03c3e20c68bfe2,449e9d486a5120e818e99b17d86a5528a6d73dfee19b63afe5b0f332d3e849cd,46100480,3.13.6,Windows-11-10.0.26200-SP0,2026-09-13T10:55:16.557634+00:00
tune:1000:0:hybrid:64:timed,0cfc5c7c0a5005d27a3bb518d776b983a8427406ffd6c39541c6c0566dfea02b,0c66ee43f1117e7a,c(iii),tune,hybrid,1000,64,1000000,310100,0,timed,,0.00278125,0.002818061799975112,500,1.390625,1.409030899987556,12,True,True,exact_histogram+sum+squares+xor,True,500133472,328426401492916,533676,998f1635234f45492a696100253f18aea194252dd7d5cfc64a03c3e20c68bfe2,449e9d486a5120e818e99b17d86a5528a6d73dfee19b63afe5b0f332d3e849cd,45842432,3.13.6,Windows-11-10.0.26200-SP0,2026-09-13T10:55:18.000223+00:00
tune:1000:0:hybrid:48:timed,0cfc5c7c0a5005d27a3bb518d776b983a8427406ffd6c39541c6c0566dfea02b,0c66ee43f1117e7a,c(iii),tune,hybrid,1000,48,1000000,310100,0,timed,,0.0023125,0.002371121000032872,500,1.15625,1.185560500016436,13,True,True,exact_histogram+sum+squares+xor,True,500133472,328426401492916,533676,998f1635234f45492a696100253f18aea194252dd7d5cfc64a03c3e20c68bfe2,449e9d486a5120e818e99b17d86a5528a6d73dfee19b63afe5b0f332d3e849cd,45985792,3.13.6,Windows-11-10.0.26200-SP0,2026-09-13T10:55:19.221906+00:00
tune:1000:0:hybrid:24:counted,0cfc5c7c0a5005d27a3bb518d776b983a8427406ffd6c39541c6c0566dfea02b,0c66ee43f1117e7a,c(iii),tune,hybrid,1000,24,1000000,310100,0,counted,10338,,,1,,,14,True,True,exact_histogram+sum+squares+xor,True,500133472,328426401492916,533676,998f1635234f45492a696100253f18aea194252dd7d5cfc64a03c3e20c68bfe2,449e9d486a5120e818e99b17d86a5528a6d73dfee19b63afe5b0f332d3e849cd,46231552,3.13.6,Windows-11-10.0.26200-SP0,2026-09-13T10:55:19.255623+00:00
tune:1000:0:hybrid:16:timed,0cfc5c7c0a5005d27a3bb518d776b983a8427406ffd6c39541c6c0566dfea02b,0c66ee43f1117e7a,c(iii),tune,hybrid,1000,16,1000000,310100,0,timed,,0.0015,0.0016412039999850094,500,0.75,0.8206019999925047,15,True,True,exact_histogram+sum+squares+xor,True,500133472,328426401492916,533676,998f1635234f45492a696100253f18aea194252dd7d5cfc64a03c3e20c68bfe2,449e9d486a5120e818e99b17d86a5528a6d73dfee19b63afe5b0f332d3e849cd,45899776,3.13.6,Windows-11-10.0.26200-SP0,2026-09-13T10:55:20.120921+00:00
tune:1000:0:hybrid:12:timed,0cfc5c7c0a5005d27a3bb518d776b983a8427406ffd6c39541c6c0566dfea02b,0c66ee43f1117e7a,c(iii),tune,hybrid,1000,12,1000000,310100,0,timed,,0.0015,0.001537488400004804,500,0.75,0.7687442000024021,16,True,True,exact_histogram+sum+squares+xor,True,500133472,328426401492916,533676,998f1635234f45492a696100253f18aea194252dd7d5cfc64a03c3e20c68bfe2,449e9d486a5120e818e99b17d86a5528a6d73dfee19b63afe5b0f332d3e849cd,45490176,3.13.6,Windows-11-10.0.26200-SP0,2026-09-13T10:55:20.936884+00:00
tune:1000:0:hybrid:48:counted,0cfc5c7c0a5005d27a3bb518d776b983a8427406ffd6c39541c6c0566dfea02b,0c66ee43f1117e7a,c(iii),tune,hybrid,1000,48,1000000,310100,0,counted,13322,,,1,,,17,True,True,exact_histogram+sum+squares+xor,True,500133472,328426401492916,533676,998f1635234f45492a696100253f18aea194252dd7d5cfc64a03c3e20c68bfe2,449e9d486a5120e818e99b17d86a5528a6d73dfee19b63afe5b0f332d3e849cd,45817856,3.13.6,Windows-11-10.0.26200-SP0,2026-09-13T10:55:20.969351+00:00
tune:1000:1:hybrid:1:counted,0cfc5c7c0a5005d27a3bb518d776b983a8427406ffd6c39541c6c0566dfea02b,0c66ee43f1117e7a,c(iii),tune,hybrid,1000,1,1000000,310101,1,counted,8698,,,1,,,0,True,True,exact_histogram+sum+squares+xor,True,508420457,342868203947417,220945,ccf609886f4370bb1ecc6165ccff40f0bacbf1b085635543e9587b3d25a95f1b,36f2ccafd185bfb0b14532d473277c1788fa59d39f3487a09e02c32a517fb559,45850624,3.13.6,Windows-11-10.0.26200-SP0,2026-09-13T10:55:20.996263+00:00
tune:1000:1:hybrid:16:timed,0cfc5c7c0a5005d27a3bb518d776b983a8427406ffd6c39541c6c0566dfea02b,0c66ee43f1117e7a,c(iii),tune,hybrid,1000,16,1000000,310101,1,timed,,0.0016875,0.0017180963999126107,500,0.84375,0.8590481999563053,1,True,True,exact_histogram+sum+squares+xor,True,508420457,342868203947417,220945,ccf609886f4370bb1ecc6165ccff40f0bacbf1b085635543e9587b3d25a95f1b,36f2ccafd185bfb0b14532d473277c1788fa59d39f3487a09e02c32a517fb559,45830144,3.13.6,Windows-11-10.0.26200-SP0,2026-09-13T10:55:21.888159+00:00
tune:1000:1:hybrid:4:counted,0cfc5c7c0a5005d27a3bb518d776b983a8427406ffd6c39541c6c0566dfea02b,0c66ee43f1117e7a,c(iii),tune,hybrid,1000,4,1000000,310101,1,counted,8757,,,1,,,2,True,True,exact_histogram+sum+squares+xor,True,508420457,342868203947417,220945,ccf609886f4370bb1ecc6165ccff40f0bacbf1b085635543e9587b3d25a95f1b,36f2ccafd185bfb0b14532d473277c1788fa59d39f3487a09e02c32a517fb559,45928448,3.13.6,Windows-11-10.0.26200-SP0,2026-09-13T10:55:21.918608+00:00
tune:1000:1:hybrid:8:counted,0cfc5c7c0a5005d27a3bb518d776b983a8427406ffd6c39541c6c0566dfea02b,0c66ee43f1117e7a,c(iii),tune,hybrid,1000,8,1000000,310101,1,counted,9109,,,1,,,3,True,True,exact_histogram+sum+squares+xor,True,508420457,342868203947417,220945,ccf609886f4370bb1ecc6165ccff40f0bacbf1b085635543e9587b3d25a95f1b,36f2ccafd185bfb0b14532d473277c1788fa59d39f3487a09e02c32a517fb559,45928448,3.13.6,Windows-11-10.0.26200-SP0,2026-09-13T10:55:21.937984+00:00
tune:1000:1:hybrid:1:timed,0cfc5c7c0a5005d27a3bb518d776b983a8427406ffd6c39541c6c0566dfea02b,0c66ee43f1117e7a,c(iii),tune,hybrid,1000,1,1000000,310101,1,timed,,0.00259375,0.002701909200055525,500,1.296875,1.3509546000277624,4,True,True,exact_histogram+sum+squares+xor,True,508420457,342868203947417,220945,ccf609886f4370bb1ecc6165ccff40f0bacbf1b085635543e9587b3d25a95f1b,36f2ccafd185bfb0b14532d473277c1788fa59d39f3487a09e02c32a517fb559,45916160,3.13.6,Windows-11-10.0.26200-SP0,2026-09-13T10:55:23.318088+00:00
tune:1000:1:hybrid:24:timed,0cfc5c7c0a5005d27a3bb518d776b983a8427406ffd6c39541c6c0566dfea02b,0c66ee43f1117e7a,c(iii),tune,hybrid,1000,24,1000000,310101,1,timed,,0.00178125,0.0017900586000178008,500,0.890625,0.8950293000089005,5,True,True,exact_histogram+sum+squares+xor,True,508420457,342868203947417,220945,ccf609886f4370bb1ecc6165ccff40f0bacbf1b085635543e9587b3d25a95f1b,36f2ccafd185bfb0b14532d473277c1788fa59d39f3487a09e02c32a517fb559,45830144,3.13.6,Windows-11-10.0.26200-SP0,2026-09-13T10:55:24.241872+00:00
tune:1000:1:hybrid:4:timed,0cfc5c7c0a5005d27a3bb518d776b983a8427406ffd6c39541c6c0566dfea02b,0c66ee43f1117e7a,c(iii),tune,hybrid,1000,4,1000000,310101,1,timed,,0.00178125,0.0017762769998516887,500,0.890625,0.8881384999258444,6,True,True,exact_histogram+sum+squares+xor,True,508420457,342868203947417,220945,ccf609886f4370bb1ecc6165ccff40f0bacbf1b085635543e9587b3d25a95f1b,36f2ccafd185bfb0b14532d473277c1788fa59d39f3487a09e02c32a517fb559,45830144,3.13.6,Windows-11-10.0.26200-SP0,2026-09-13T10:55:25.177782+00:00
